FID,ZIPCODE,Cnt_ZIPCODE,Ave_heightroof,SD_heightroof
-1,10128,1350,76.318357202970347,62.991184601029069
-1,10151,1,438.189999999999998,0.000000000000000
-1,10152,1,530.659999999999968,0.000000000000000
-1,10153,1,690.169999999999959,0.000000000000000
-1,10154,1,630.309999999999945,0.000000000000000
-1,10155,1,502.680000000000007,0.000000000000000
-1,10158,1,520.659999999999968,0.000000000000000
-1,10162,1,158.419999999999987,0.000000000000000
-1,10165,1,669.139999999999986,0.000000000000000
-1,10166,1,157.369469350000003,0.000000000000000
-1,10167,1,612.429999999999950,0.000000000000000
-1,10168,1,618.121152589999951,0.000000000000000
-1,10169,1,473.315491710000003,0.000000000000000
-1,10170,1,389.269999999999982,0.000000000000000
-1,10171,1,572.789577630000053,0.000000000000000
-1,10172,1,695.529999999999973,0.000000000000000
-1,10174,2,490.290000000000020,645.899618207039907
-1,10175,1,463.190410579999991,0.000000000000000
-1,10176,1,419.670000000000016,0.000000000000000
-1,10177,1,268.000000000000000,0.000000000000000
-1,10178,1,630.639999999999986,0.000000000000000
-1,10196,2,295.160000000000025,388.823876838858723
-1,10203,1,657.870000000000005,0.000000000000000
-1,10259,1,678.750000000000000,0.000000000000000
-1,10260,1,709.330000000000041,0.000000000000000
-1,10265,1,495.795192400000019,0.000000000000000
-1,10270,1,817.779999999999973,0.000000000000000
-1,10271,1,544.360000000000014,0.000000000000000
-1,10275,1,336.600000000000023,0.000000000000000
-1,10278,2,346.494443130000036,336.117069152103340
-1,10279,1,780.241425380000010,0.000000000000000
-1,10280,27,189.937195384814800,127.070983628674156
-1,10281,5,499.786951255999952,273.439625626647000
-1,10282,22,229.320204578636350,167.756807817160478
-1,10285,1,739.533718980000003,0.000000000000000
-1,10286,1,495.579906080000001,0.000000000000000
-1,10301,9303,26.408956902590401,10.613065676784409
-1,10302,5549,23.964466076165127,8.625727702271595
-1,10303,7112,24.827142765379492,7.878168822200546
-1,10304,10481,25.761336350908454,8.986431922169656
-1,10305,12080,24.506577154052092,7.845261488486985
-1,10306,18324,23.317887767639260,7.264594240943866
-1,10307,4720,25.141677399228772,7.503332109289262
-1,10308,9374,24.077718394805796,6.138214060665291
-1,10309,10702,26.008313866982753,7.392004262785632
-1,10310,8192,23.829795980350294,8.949441784575404
-1,10312,19050,25.300793246925991,6.317018138578993
-1,10314,26078,24.608533865114950,7.430422861497905
-1,10451,1168,44.544304227825336,33.972967942585008
-1,10452,1496,40.669305653850294,23.657139804423529
-1,10453,2229,38.232032960533843,27.179247813100190
-1,10454,1792,37.910923048002232,23.986715452721437
-1,10455,1936,36.229494483135291,22.097386412195068
-1,10456,2916,39.661552969684514,23.577839412529148
-1,10457,2990,35.703061016959794,20.488182820894849
-1,10458,2942,37.800604759340573,18.949161726845130
-1,10459,2564,32.678629499617756,14.967812305730034
-1,10460,3237,31.203214116472036,17.145598881971015
-1,10461,9664,25.188550422251641,12.214041379536463
-1,10462,5348,29.375084058148826,16.804005984186077
-1,10463,2725,35.318033686308262,25.956697992544466
-1,10464,2117,21.723271410793657,8.461657326571988
-1,10465,10991,23.961348826982213,8.307306498809853
-1,10466,11446,25.093310993696512,9.697242333992309
-1,10467,5597,30.535109118870817,17.300446285091269
-1,10468,1816,39.672913871519796,25.522921184022032
-1,10469,12832,24.874831566059949,7.988542661473629
-1,10470,2804,26.132004764062071,10.319903236908825
-1,10471,2539,30.033239635336752,15.471331106063648
-1,10472,5070,26.667127466747424,12.347776429439747
-1,10473,6106,25.633487545981062,14.974562506540115
-1,10474,1314,25.062725035509853,13.639643789099321
-1,10475,1144,37.589847029790214,51.082952418505251
-1,11001,1902,19.443596299884327,6.965817204692567
-1,11004,4719,20.529760907173113,6.475353072306472
-1,11005,193,30.890822406269443,38.707033275968925
-1,11040,1013,20.174209905054312,5.964151106371841
-1,11096,25,23.127907107200002,6.720192626055553
-1,11101,3610,34.174220733279753,40.057547220903253
-1,11102,3423,28.914438795568213,15.115458662204357
-1,11103,5462,26.410448276406029,10.741981309504798
-1,11104,1765,28.975784941507168,12.572764304935300
-1,11105,7570,23.114652425706808,9.417233716358592
-1,11106,3716,28.152300498969264,15.034717695090425
-1,11109,8,157.602977607500009,146.006929800244450
-1,11201,3653,52.008752986895651,45.135642362521153
-1,11203,15719,22.076300680438909,9.887277469434089
-1,11204,12555,24.319470695240135,9.383218339813054
-1,11205,3264,39.513685544892745,18.866646381559264
-1,11206,4965,37.529926489029165,18.851393510002605
-1,11207,12249,26.909157950998353,9.700400138646232
-1,11208,12769,25.133228212822470,9.337886658849865
-1,11209,12074,25.405505424585055,11.460463002635210
-1,11210,13545,24.194165221525374,11.243024882528534
-1,11211,5890,36.495914483168129,15.905384740839688
-1,11212,7325,25.968219886520139,14.450837705937959
-1,11213,5821,29.945906381063459,13.020055115058973
-1,11214,12199,25.389556452359187,10.775730641595343
-1,11215,9217,35.992011163425239,12.305618932438049
-1,11216,6111,38.573529655617740,9.978506663091876
-1,11217,4248,41.285305285922753,22.838767497394905
-1,11218,8387,26.918607709822410,11.373959268261114
-1,11219,10616,28.133338449307630,11.093176552150618
